"Ticker","Sector","Industry","Market Cap","P/S","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Return on Investment","Gross Margin","Operating Margin","Profit Margin","Price","Target Price"
"DEA","Financial","REIT - Office",705.13,7.76,15.00%,0.00%,,,0.70%,70.90%,11.10%,2.00%,19.25,19.50
"DECK","Consumer Goods","Textile - Apparel Footwear & Accessories",1981.86,1.08,10.72%,-1.70%,5.50%,13.40%,12.30%,45.60%,8.00%,6.00%,60.02,65.47
"DEE","Financial","Exchange Traded Fund",,,,,,,,,,,88.24,
"DEEF","Financial","Exchange Traded Fund",,,,,,,,,,,25.48,
"DEF","Financial","Exchange Traded Fund",,,,,,,,,,,38.37,
"DEFA","Financial","Exchange Traded Fund",,,,,,,,,,,24.36,
"DEI","Financial","REIT - Diversified",5622.58,8.31,30.84%,30.60%,6.68%,2.20%,3.60%,67.40%,30.80%,8.80%,35.84,37.65
"DEL","Industrial Goods","Lumber, Wood Production",860.04,4.15,,-26.60%,20.00%,6.50%,2.10%,26.80%,7.20%,2.20%,70.15,68.00
"DELT","Basic Materials","Specialty Chemicals",15.57,0.08,,-46.51%,,,6.20%,9.60%,,,1.72,15.13
"DEM","Financial","Exchange Traded Fund",,,,,,,,,,,37.53,
"DEMG","Financial","Exchange Traded Fund",,,,,,,,,,,25.61,
"DENN","Services","Restaurants",806.65,1.62,13.18%,13.60%,14.50%,-2.20%,29.30%,47.90%,8.80%,3.20%,10.48,12.67
"DEO","Consumer Goods","Beverages - Wineries & Distillers",72297.49,5.19,11.90%,3.20%,6.80%,1.10%,13.10%,59.50%,28.30%,21.40%,113.27,119.73
"DEPO","Healthcare","Drug Manufacturers - Other",1331.96,3.04,23.03%,78.69%,19.00%,33.50%,-0.30%,80.20%,-4.10%,-16.90%,21.24,23.42
"DERM","Healthcare","Biotechnology",1208.59,165.56,26.80%,0.00%,,,-42.70%,,,,33.60,44.33
"DES","Financial","Exchange Traded Fund",,,,,,,,,,,73.56,
"DESC","Financial","Exchange Traded Fund",,,,,,,,,,,27.42,
"DEST","Services","Apparel Stores",74.84,0.16,,-17.00%,15.00%,-1.80%,-2.20%,51.50%,-0.50%,-0.60%,5.14,22.00
"DEUS","Financial","Exchange Traded Fund",,,,,,,,,,,26.33,
"DEW","Financial","Exchange Traded Fund",,,,,,,,,,,42.51,
"DEWJ","Financial","Exchange Traded Fund",,,,,,,,,,,,
"DEX","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,9.90,
"DEZU","Financial","Exchange Traded Fund",,,,,,,,,,,23.00,
"DF","Consumer Goods","Dairy Products",1551.18,0.20,-1.80%,-17.00%,10.70%,-5.60%,4.00%,25.70%,3.20%,1.40%,16.56,20.67
"DFBG","Consumer Goods","Textile - Apparel Clothing",106.52,1.03,700.00%,32.47%,15.00%,-4.00%,-72.00%,50.00%,-29.70%,-16.80%,7.92,6.00
"DFE","Financial","Exchange Traded Fund",,,,,,,,,,,55.23,
"DFJ","Financial","Exchange Traded Fund",,,,,,,,,,,59.01,
"DFND","Financial","Exchange Traded Fund",,,,,,,,,,,22.76,
"DFP","Financial","Closed-End Fund - Debt",,,,,,,,,,,24.45,
"DFRG","Services","Restaurants",342.67,1.00,9.71%,7.40%,11.90%,15.30%,7.60%,71.20%,7.00%,4.90%,14.41,17.17
"DFS","Financial","Credit Services",23673.67,2.87,6.35%,4.80%,8.23%,4.60%,10.90%,,63.90%,27.30%,57.69,64.59
"DFT","Financial","REIT - Office",3294.07,6.81,17.82%,-22.80%,11.60%,13.30%,2.20%,66.10%,12.90%,0.10%,42.57,49.09
"DFVL","Financial","Exchange Traded Fund",,,,,,,,,,,70.00,
"DG","Services","Discount, Variety Stores",20460.71,0.97,9.04%,16.70%,13.65%,9.30%,15.00%,31.00%,9.60%,5.90%,72.53,85.86
"DGAS","Utilities","Gas Utilities",165.95,2.59,,-3.80%,4.00%,-5.00%,6.20%,54.30%,17.90%,8.60%,23.34,20.00
"DGAZ","Financial","Exchange Traded Fund",,,,,,,,,,,5.99,
"DGI","Industrial Goods","Aerospace/Defense Products & Services",1627.87,2.31,-102.40%,36.70%,0.38%,16.80%,2.20%,80.70%,12.00%,5.00%,25.25,28.40
"DGICA","Financial","Property & Casualty Insurance",484.43,0.73,-5.77%,11.10%,10.00%,9.30%,4.50%,,6.00%,4.30%,16.59,18.00
"DGICB","Financial","Property & Casualty Insurance",122.53,0.19,,,,,,,,,21.88,
"DGII","Technology","Networking & Communication Devices",315.15,1.51,2.17%,-6.00%,30.00%,3.10%,1.60%,48.70%,7.80%,7.60%,11.46,14.50
"DGL","Financial","Exchange Traded Fund",,,,,,,,,,,42.52,
"DGLD","Financial","Exchange Traded Fund",,,,,,,,,,,44.49,
"DGLY","Technology","Scientific & Technical Instruments",30.30,1.60,119.40%,2.90%,20.00%,-4.50%,-40.50%,35.50%,-52.90%,-52.90%,5.59,10.00
"DGP","Financial","Exchange Traded Fund",,,,,,,,,,,26.78,
"DGRE","Financial","Exchange Traded Fund",,,,,,,,,,,22.96,
"DGRO","Financial","Exchange Traded Fund",,,,,,,,,,,27.55,
"DGRS","Financial","Exchange Traded Fund",,,,,,,,,,,30.21,
"DGRW","Financial","Exchange Traded Fund",,,,,,,,,,,32.06,
"DGS","Financial","Exchange Traded Fund",,,,,,,,,,,41.60,
"DGSE","Services","Jewelry Stores",9.94,0.16,,-17.10%,,-5.90%,-25.50%,15.30%,-3.60%,-4.30%,0.84,
"DGT","Financial","Exchange Traded Fund",,,,,,,,,,,67.07,
"DGX","Healthcare","Medical Laboratories & Research",12003.22,1.60,6.68%,4.10%,7.82%,0.60%,12.30%,38.70%,20.70%,11.00%,83.05,82.65
"DGZ","Financial","Exchange Traded Fund",,,,,,,,,,,13.47,
"DHF","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,3.37,
"DHG","Financial","Closed-End Fund - Equity",,,,0.00%,,,,,,,13.95,
"DHI","Industrial Goods","Residential Construction",11839.12,1.02,12.80%,21.40%,13.10%,19.70%,7.70%,21.50%,10.90%,7.30%,30.47,35.04
"DHIL","Financial","Asset Management",632.80,4.99,,19.80%,,17.00%,35.90%,,47.20%,29.50%,182.89,
"DHR","Industrial Goods","Diversified Machinery",54396.67,2.46,9.50%,7.70%,7.80%,10.40%,7.50%,52.80%,16.70%,15.90%,76.80,87.75
"DHRM","Healthcare","Medical Appliances & Equipment",11.87,9.13,,-25.00%,,-41.70%,-70.00%,-8.70%,,,1.70,
"DHS","Financial","Exchange Traded Fund",,,,,,,,,,,65.72,
"DHT","Services","Shipping",398.37,1.06,-38.82%,-9.70%,8.00%,32.40%,9.70%,67.40%,38.40%,30.10%,4.03,6.44
"DHVW","Financial","Exchange Traded Fund",,,,,,,,,,,24.68,
"DHX","Services","Staffing & Outsourcing Services",390.15,1.58,18.60%,-22.60%,15.10%,15.00%,-3.20%,85.30%,-0.90%,-6.40%,7.50,8.06
"DHY","Financial","Asset Management",261.13,8.59,,-17.90%,,9.60%,6.80%,83.20%,83.60%,-77.90%,2.50,
"DI","Financial","Exchange Traded Fund",,,,,,,,,,,49.62,
"DIA","Financial","Exchange Traded Fund",,,,,,,,,,,181.51,
"DIG","Financial","Exchange Traded Fund",,,,,,,,,,,35.75,
"DIM","Financial","Exchange Traded Fund",,,,,,,,,,,55.94,
"DIN","Services","Restaurants",1423.39,2.16,5.62%,38.90%,3.90%,-12.60%,6.20%,60.60%,24.30%,15.30%,76.94,98.67
"DIOD","Technology","Semiconductor - Integrated Circuits",1041.78,1.18,49.13%,-21.90%,28.40%,6.70%,2.20%,28.80%,1.80%,0.20%,20.28,24.75
"DIRT","Financial","Exchange Traded Fund",,,,,,,,,,,31.51,
"DIS","Services","Entertainment - Diversified",151342.95,2.70,5.06%,19.20%,10.74%,6.60%,13.20%,46.40%,25.80%,16.50%,92.50,109.52
"DISCA","Services","CATV Systems",9799.88,1.51,12.49%,1.00%,15.70%,11.50%,11.20%,62.80%,31.20%,11.90%,24.41,29.05
"DISCK","Services","CATV Systems",5773.06,0.89,12.10%,0.00%,15.97%,,,,,,23.70,27.67
"DISH","Services","CATV Systems",25126.10,1.66,-11.30%,-6.10%,-0.09%,3.60%,5.90%,26.00%,9.80%,5.80%,52.05,72.00
"DIT","Services","Food Wholesale",62.91,0.05,,-6.40%,,4.90%,8.30%,5.80%,0.90%,0.50%,91.17,
"DIV","Financial","Exchange Traded Fund",,,,,,,,,,,24.87,
"DIVA","Financial","Exchange Traded Fund",,,,,,,,,,,25.51,
"DIVI","Financial","Exchange Traded Fund",,,,,,,,,,,16.77,
"DIVY","Financial","Exchange Traded Fund",,,,,,,,,,,24.09,
"DJCI","Financial","Exchange Traded Fund",,,,,,,,,,,15.01,
"DJCO","Services","Publishing - Newspapers",318.93,7.35,,-36.20%,,3.20%,-1.80%,97.80%,-11.10%,-0.60%,224.60,
"DJD","Financial","Exchange Traded Fund",,,,,,,,,,,27.39,
"DJP","Financial","Exchange Traded Fund",,,,,,,,,,,22.80,
"DK","Basic Materials","Oil & Gas Refining & Marketing",1137.74,0.21,99.30%,17.20%,11.50%,8.90%,4.60%,11.90%,0.20%,-0.90%,18.14,17.92
"DKL","Basic Materials","Independent Oil & Gas",705.80,1.44,9.25%,12.47%,6.50%,,39.00%,31.30%,16.60%,12.30%,28.03,31.60
"DKS","Services","Sporting Goods Stores",6897.34,0.92,20.54%,13.60%,12.00%,8.30%,18.60%,30.00%,7.00%,4.30%,60.36,62.44
"DL","Services","Education & Training Services",434.58,3.85,12.64%,173.30%,5.30%,27.10%,19.40%,59.80%,,,12.36,13.00
"DLA","Consumer Goods","Textile - Apparel Clothing",133.09,0.31,46.43%,-6.40%,15.00%,1.10%,5.70%,22.20%,4.10%,2.50%,16.72,26.00
"DLB","Technology","Diversified Electronics",5225.40,5.10,10.73%,-6.60%,10.00%,1.00%,8.30%,89.80%,23.30%,20.30%,50.57,49.50
"DLBL","Financial","Exchange Traded Fund",,,,,,,,,,,83.86,
"DLBS","Financial","Exchange Traded Fund",,,,,,,,,,,14.09,
"DLHC","Services","Staffing & Outsourcing Services",47.83,0.63,,24.20%,,9.80%,34.90%,19.90%,4.90%,12.20%,4.47,8.00
"DLN","Financial","Exchange Traded Fund",,,,,,,,,,,76.46,
"DLNG","Services","Shipping",549.87,3.45,-17.40%,10.69%,-3.20%,,9.00%,82.60%,60.70%,40.80%,15.27,14.83
"DLPH","Consumer Goods","Auto Parts",19587.85,1.24,11.86%,16.60%,12.63%,1.90%,21.70%,19.90%,10.00%,8.10%,69.11,84.07
"DLR","Financial","REIT - Office",14201.68,7.26,43.79%,18.20%,6.40%,15.30%,4.30%,63.60%,19.20%,3.40%,92.67,111.00
"DLS","Financial","Exchange Traded Fund",,,,,,,,,,,60.41,
"DLTH","Services","Apparel Stores",935.85,2.96,28.31%,0.00%,25.00%,,29.60%,57.10%,,,28.07,31.20
"DLTR","Services","Discount, Variety Stores",19380.80,0.95,20.06%,-4.00%,19.07%,21.40%,7.40%,30.00%,7.20%,3.50%,81.99,94.75
"DLX","Services","Business Services",3391.99,1.87,6.13%,7.80%,7.50%,4.80%,13.10%,63.90%,20.10%,12.80%,67.61,74.25
"DM","Basic Materials","Oil & Gas Pipelines",1952.59,5.51,26.92%,0.00%,22.00%,,10.40%,91.50%,54.50%,25.00%,24.53,36.00
"DMD","Technology","Internet Software & Services",120.34,1.05,-15.80%,31.30%,15.00%,-13.00%,-59.20%,39.20%,-42.90%,-8.60%,5.69,7.67
"DMF","Financial","Asset Management",203.16,14.72,,-10.60%,,-2.80%,5.80%,84.10%,81.00%,89.60%,9.61,
"DMLP","Financial","Diversified Investments",469.81,15.20,,-17.80%,,-12.20%,18.60%,90.80%,41.50%,40.10%,14.91,
"DMPI","Healthcare","Biotechnology",70.47,,-13.00%,0.00%,,,,,,,6.95,15.00
"DMRC","Technology","Information Technology Services",384.88,17.99,16.00%,-43.10%,20.00%,-6.60%,-35.10%,61.00%,-95.50%,-95.60%,35.67,48.40
"DMTX","Healthcare","Biotechnology",233.81,25.98,-23.60%,0.00%,,,-32.70%,,,,9.39,18.43
"DNAI","Healthcare","Biotechnology",57.91,,16.70%,0.00%,,,,,,,1.85,2.50
"DNB","Technology","Information & Delivery Services",5073.29,3.02,5.46%,2.40%,5.43%,-0.50%,37.50%,67.70%,18.60%,11.00%,135.36,124.60
"DNBF","Financial","Regional - Mid-Atlantic Banks",72.42,2.94,34.97%,9.10%,,-1.20%,17.80%,,85.20%,21.50%,25.50,28.00
"DNI","Financial","Closed-End Fund - Equity",,,,0.00%,,,,,,,11.25,
"DNKN","Services","Restaurants",4510.99,5.50,10.05%,20.40%,13.21%,7.00%,9.10%,83.80%,40.80%,15.10%,48.37,48.81
"DNL","Financial","Exchange Traded Fund",,,,,,,,,,,48.88,
"DNN","Basic Materials","Industrial Metals & Minerals",262.17,18.21,0.00%,-50.30%,,-37.10%,-36.50%,9.00%,,,0.48,1.14
"DNO","Financial","Exchange Traded Fund",,,,,,,,,,,74.50,
"DNOW","Basic Materials","Oil & Gas Equipment & Services",2189.79,0.90,54.90%,0.00%,,16.30%,-32.70%,16.10%,-24.40%,-23.70%,19.47,19.38
"DNP","Financial","Closed-End Fund - Equity",2938.79,23.34,,-22.00%,,-2.50%,2.30%,73.90%,65.50%,86.00%,10.38,
"DNR","Basic Materials","Independent Oil & Gas",1257.20,1.23,1300.00%,-25.65%,2.11%,-8.10%,-96.60%,99.60%,,,2.86,3.35
"DO","Basic Materials","Oil & Gas Drilling & Exploration",2389.86,1.18,-26.74%,-18.00%,,-6.10%,-2.90%,50.10%,-33.30%,-30.20%,15.62,18.67
"DOC","Financial","REIT - Healthcare Facilities",2901.27,16.81,43.15%,0.00%,9.70%,,0.80%,75.20%,12.90%,11.30%,20.11,22.46
"DOD","Financial","Exchange Traded Fund",,,,,,,,,,,17.69,
"DOG","Financial","Exchange Traded Fund",,,,,,,,,,,20.87,
"DOIL","Financial","Exchange Traded Fund",,,,,,,,,,,,
"DOL","Financial","Exchange Traded Fund",,,,,,,,,,,42.83,
"DON","Financial","Exchange Traded Fund",,,,,,,,,,,89.48,
"DOO","Financial","Exchange Traded Fund",,,,,,,,,,,38.31,
"DOOR","Industrial Goods","General Building Materials",2068.20,1.05,21.46%,-46.50%,50.00%,4.70%,-0.90%,19.90%,3.10%,1.10%,64.19,78.89
"DORM","Consumer Goods","Auto Parts",2258.07,2.71,9.56%,14.40%,15.00%,12.90%,17.90%,38.60%,18.70%,11.80%,63.95,61.88
"DOV","Industrial Goods","Diversified Machinery",11185.92,1.65,17.22%,2.70%,10.29%,2.60%,11.20%,37.20%,12.20%,8.00%,68.60,73.50
"DOW","Basic Materials","Chemicals - Major Diversified",60534.39,1.31,14.91%,27.80%,8.06%,-1.90%,21.80%,23.30%,23.10%,17.50%,52.85,60.25
"DOX","Technology","Business Software & Services",9056.62,2.44,6.41%,11.30%,6.95%,4.10%,12.40%,35.20%,12.80%,10.90%,59.93,62.00
"DPG","Financial","Closed-End Fund - Equity",,,,,,,,,,,16.41,
"DPK","Financial","Exchange Traded Fund",,,,,,,,,,,24.93,
"DPLO","Healthcare","Drugs - Generic",2096.48,0.52,23.51%,35.90%,21.05%,42.30%,4.80%,7.80%,1.80%,1.10%,30.61,37.60
"DPM","Basic Materials","Oil & Gas Pipelines",3889.47,2.39,53.38%,1.00%,-3.27%,-2.10%,2.90%,38.50%,10.50%,9.50%,32.97,35.23
"DPRX","Healthcare","Biotechnology",154.86,,12.90%,0.00%,40.00%,,,,,,14.50,27.25
"DPS","Consumer Goods","Beverages - Soft Drinks",17314.12,2.72,8.81%,12.80%,9.45%,2.20%,15.80%,59.80%,21.80%,13.00%,90.22,98.60
"DPST","Financial","Exchange Traded Fund",,,,,,,,,,,32.52,
"DPW","Technology","Diversified Electronics",5.54,0.74,,-33.60%,,-5.70%,-31.80%,34.30%,-11.00%,-10.00%,0.77,
"DPZ","Services","Restaurants",7480.21,3.23,19.41%,19.20%,16.23%,7.10%,66.30%,30.80%,18.20%,8.40%,151.79,142.91
"DQ","Technology","Semiconductor Equipment & Materials",242.42,1.03,-3.65%,-12.70%,0.00%,-6.40%,5.00%,30.50%,25.80%,17.40%,23.00,34.77
"DRA","Financial","Closed-End Fund - Equity",,,,,,,,,,,16.79,
"DRAD","Healthcare","Medical Appliances & Equipment",100.40,1.06,3.23%,39.70%,16.00%,1.60%,39.90%,29.90%,2.60%,34.20%,5.00,7.50
"DRAM","Technology","Data Storage Devices",4.08,0.16,,38.60%,,-11.70%,-152.60%,18.70%,-4.80%,-5.30%,1.19,
"DRD","Basic Materials","Gold",226.23,1.31,155.00%,-3.40%,10.00%,12.00%,5.30%,8.10%,4.90%,2.50%,4.90,6.39
"DRE","Financial","REIT - Industrial",9758.95,10.75,-39.81%,37.20%,3.77%,-4.30%,5.60%,64.50%,44.20%,27.50%,26.61,28.46
"DRGS","Financial","Exchange Traded Fund",,,,,,,,,,,,
"DRH","Financial","REIT - Hotel/Motel",1938.04,2.06,-9.87%,50.40%,1.20%,12.20%,4.60%,30.70%,17.60%,11.80%,9.28,10.14
"DRI","Services","Restaurants",7832.71,1.13,10.57%,-4.00%,15.09%,-1.60%,22.20%,22.30%,9.00%,5.40%,62.12,69.41
"DRIO","Healthcare","Medical Laboratories & Research",20.37,11.32,41.60%,0.00%,,,-962.30%,-35.70%,,,3.71,12.00
"DRIP","Financial","Exchange Traded Fund",,,,,,,,,,,25.05,
"DRN","Financial","Exchange Traded Fund",,,,,,,,,,,22.82,
"DRNA","Healthcare","Biotechnology",65.81,,12.30%,0.00%,,,-69.30%,,,,3.21,13.38
"DRQ","Basic Materials","Oil & Gas Equipment & Services",2037.99,2.86,-52.07%,14.30%,,8.30%,14.40%,45.30%,30.80%,24.20%,52.35,57.92
"DRR","Financial","Exchange Traded Fund",,,,,,,,,,,55.33,
"DRRX","Healthcare","Drug Manufacturers - Other",232.27,13.91,15.40%,6.20%,20.00%,-9.60%,-59.70%,75.80%,,,1.59,4.00
"DRV","Financial","Exchange Traded Fund",,,,,,,,,,,13.05,
"DRW","Financial","Exchange Traded Fund",,,,,,,,,,,28.60,
"DRWI","Technology","Communication Equipment",10.48,0.14,25.50%,-65.10%,9.00%,-6.10%,-162.50%,17.00%,-49.40%,-55.80%,2.78,10.36
"DRYS","Services","Shipping",3.47,0.01,,-41.60%,10.00%,2.40%,-271.10%,50.00%,,,0.49,35.00
"DSCI","Healthcare","Medical Instruments & Supplies",133.05,1.57,350.00%,-15.40%,,8.40%,-20.00%,38.60%,,,4.58,8.50
"DSGX","Technology","Business Software & Services",1664.90,8.55,28.24%,8.00%,15.17%,13.30%,5.20%,72.00%,14.80%,11.50%,21.04,22.52
"DSI","Financial","Exchange Traded Fund",,,,,,,,,,,79.80,
"DSKY","Technology","Multimedia & Graphics Software",,,,0.00%,,,,,,,13.93,13.00
"DSL","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,18.66,
"DSLV","Financial","Exchange Traded Fund",,,,,,,,,,,21.46,
"DSM","Financial","Closed-End Fund - Debt",440.98,14.65,,1.40%,,-2.00%,6.00%,88.60%,83.30%,,8.76,
"DSPG","Technology","Semiconductor - Integrated Circuits",258.73,1.95,44.48%,17.20%,8.00%,-8.50%,0.30%,42.70%,-1.90%,-1.30%,11.53,13.67
"DSS","Services","Business Services",9.07,0.50,,-9.00%,,5.50%,-123.90%,40.10%,-66.80%,-68.70%,0.70,6.00
"DST","Technology","Business Software & Services",4020.19,1.83,21.31%,7.90%,10.00%,3.90%,8.20%,16.60%,11.60%,11.50%,119.97,137.80
"DSTJ","Financial","Exchange Traded Fund",,,,,,,,,,,,
"DSU","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,3.62,
"DSUM","Financial","Exchange Traded Fund",,,,,,,,,,,23.09,
"DSW","Services","Apparel Stores",1982.19,0.74,11.68%,42.80%,4.27%,7.50%,14.30%,28.20%,6.30%,4.00%,23.62,23.73
"DSWL","Consumer Goods","Rubber & Plastics",27.51,0.62,,9.30%,,-11.90%,-7.20%,10.80%,-11.90%,-11.10%,1.71,7.75
"DSX","Services","Shipping",236.42,1.61,12.80%,-20.60%,5.00%,-10.60%,-2.60%,27.80%,,,2.56,2.37
"DSXJ","Financial","Exchange Traded Fund",,,,,,,,,,,,
"DTD","Financial","Exchange Traded Fund",,,,,,,,,,,77.44,
"DTE","Utilities","Electric Utilities",17202.91,1.74,4.06%,1.50%,5.35%,3.90%,5.50%,,12.20%,7.50%,92.32,102.02
"DTEA","Consumer Goods","Food - Major Diversified",309.37,2.11,23.81%,0.00%,21.61%,,7.90%,52.50%,,,12.51,15.17
"DTF","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,16.30,
"DTH","Financial","Exchange Traded Fund",,,,,,,,,,,37.82,
"DTLK","Technology","Data Storage Devices",245.65,0.32,10.19%,3.40%,20.00%,21.10%,2.50%,18.40%,1.40%,1.00%,10.33,9.75
"DTN","Financial","Exchange Traded Fund",,,,,,,,,,,77.56,
"DTO","Financial","Exchange Traded Fund",,,,,,,,,,,148.94,
"DTSI","Technology","Application Software",620.07,3.79,11.79%,-23.20%,18.00%,9.70%,-2.80%,86.70%,-3.80%,-6.40%,34.22,39.50
"DTUS","Financial","Exchange Traded Fund",,,,,,,,,,,28.97,
"DTYL","Financial","Exchange Traded Fund",,,,,,,,,,,81.62,
"DTYS","Financial","Exchange Traded Fund",,,,,,,,,,,13.01,
"DUC","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,9.57,
"DUG","Financial","Exchange Traded Fund",,,,,,,,,,,48.24,
"DUK","Utilities","Electric Utilities",56465.44,2.46,2.56%,6.10%,4.35%,10.40%,4.90%,70.00%,22.40%,11.40%,79.06,85.76
"DUST","Financial","Exchange Traded Fund",,,,,,,,,,,37.25,
"DV","Services","Education & Training Services",1479.17,0.80,9.53%,-15.00%,6.40%,-3.10%,0.20%,46.50%,-0.70%,-0.20%,23.17,24.14
"DVA","Healthcare","Specialized Health Services",13418.82,0.93,10.51%,-8.60%,13.50%,17.20%,6.20%,28.50%,10.10%,2.50%,64.07,79.63
"DVAX","Healthcare","Biotechnology",480.18,87.31,39.20%,14.10%,,-29.90%,-57.10%,,,,11.93,35.33
"DVCR","Healthcare","Long-Term Care Facilities",54.29,0.14,,-4.90%,,6.30%,8.90%,19.40%,0.70%,-0.20%,8.47,6.00
"DVD","Services","Sporting Activities",91.31,1.96,,48.80%,5.00%,-3.20%,9.50%,39.60%,18.60%,10.90%,2.48,4.00
"DVHL","Financial","Exchange Traded Fund",,,,,,,,,,,21.58,
"DVN","Basic Materials","Independent Oil & Gas",22363.71,2.01,612.00%,-53.90%,4.56%,5.70%,-73.00%,83.00%,,,40.90,45.84
"DVP","Financial","Exchange Traded Fund",,,,,,,,,,,24.06,
"DVY","Financial","Exchange Traded Fund",,,,,,,,,,,85.01,
"DVYA","Financial","Exchange Traded Fund",,,,,,,,,,,45.54,
"DVYE","Financial","Exchange Traded Fund",,,,,,,,,,,35.58,
"DVYL","Financial","Exchange Traded Fund",,,,,,,,,,,55.10,
"DW","Consumer Goods","Recreational Vehicles",2486.11,1.61,15.29%,19.10%,15.00%,19.60%,15.60%,23.90%,10.70%,6.90%,95.73,107.50
"DWAQ","Financial","Exchange Traded Fund",,,,,,,,,,,76.30,
"DWAS","Financial","Exchange Traded Fund",,,,,,,,,,,37.74,
"DWAT","Financial","Exchange Traded Fund",,,,,,,,,,,10.09,
"DWCH","Technology","Business Software & Services",86.57,2.90,72.90%,-9.06%,20.00%,11.30%,-109.30%,83.00%,-47.20%,-52.50%,7.38,6.25
"DWFI","Financial","Exchange Traded Fund",,,,,,,,,,,25.30,
"DWIN","Financial","Exchange Traded Fund",,,,,,,,,,,27.29,
"DWLV","Financial","Exchange Traded Fund",,,,,,,,,,,25.20,
"DWM","Financial","Exchange Traded Fund",,,,,,,,,,,46.64,
"DWSN","Basic Materials","Oil & Gas Equipment & Services",162.84,0.84,43.70%,-48.90%,41.80%,16.70%,-12.20%,,-19.00%,-14.50%,7.08,9.00
"DWTI","Financial","Exchange Traded Fund",,,,,,,,,,,94.35,
"DWTR","Financial","Exchange Traded Fund",,,,,,,,,,,24.49,
"DWX","Financial","Exchange Traded Fund",,,,,,,,,,,36.30,
"DX","Financial","REIT - Residential",375.08,3.77,-4.08%,-37.00%,-11.01%,15.50%,0.60%,75.80%,-45.30%,-54.50%,7.31,7.06
"DXCM","Healthcare","Medical Laboratories & Research",8018.24,16.38,145.60%,5.70%,32.50%,52.60%,-25.60%,66.70%,-16.40%,-16.40%,92.75,96.58
"DXD","Financial","Exchange Traded Fund",,,,,,,,,,,17.05,
"DXGE","Financial","Exchange Traded Fund",,,,,,,,,,,25.96,
"DXJ","Financial","Exchange Traded Fund",,,,,,,,,,,41.98,
"DXJC","Financial","Exchange Traded Fund",,,,,,,,,,,20.58,
"DXJF","Financial","Exchange Traded Fund",,,,,,,,,,,18.71,
"DXJH","Financial","Exchange Traded Fund",,,,,,,,,,,30.13,
"DXJR","Financial","Exchange Traded Fund",,,,,,,,,,,23.91,
"DXJS","Financial","Exchange Traded Fund",,,,,,,,,,,30.14,
"DXJT","Financial","Exchange Traded Fund",,,,,,,,,,,23.54,
"DXKW","Financial","Exchange Traded Fund",,,,,,,,,,,20.77,
"DXLG","Services","Apparel Stores",248.64,0.55,550.00%,-19.80%,15.00%,2.40%,-3.40%,45.90%,-0.70%,-1.40%,4.65,7.50
"DXPE","Services","Industrial Equipment Wholesale",402.93,0.37,122.43%,-32.20%,20.00%,13.70%,-5.10%,27.80%,-4.90%,-5.10%,26.37,33.00
"DXPS","Financial","Exchange Traded Fund",,,,,,,,,,,25.74,
"DXR","Healthcare","Medical Instruments & Supplies",30.72,30.72,,-32.10%,,-7.90%,-4.50%,60.20%,48.00%,,8.17,30.00
"DXYN","Industrial Goods","Textile Industrial",73.07,0.18,,15.90%,,12.80%,1.20%,24.60%,0.00%,-0.90%,4.45,5.00
"DY","Industrial Goods","Heavy Construction",2660.15,1.00,16.81%,53.90%,14.00%,20.90%,12.00%,22.00%,8.60%,4.80%,80.44,107.83
"DYB","Financial","Exchange Traded Fund",,,,,,,,,,,24.46,
"DYLS","Financial","Exchange Traded Fund",,,,,,,,,,,27.65,
"DYN","Utilities","Electric Utilities",1540.43,0.36,110.70%,14.90%,10.60%,13.50%,5.50%,48.70%,-10.80%,-23.20%,12.36,22.85
"DYNT","Healthcare","Medical Appliances & Equipment",7.17,0.24,150.90%,-57.36%,,-2.50%,-18.50%,31.50%,-4.30%,-19.20%,2.58,7.50
"DYSL","Technology","Scientific & Technical Instruments",17.89,0.41,,-15.60%,,-1.20%,0.70%,36.00%,1.40%,0.80%,1.05,3.00
"DYY","Financial","Exchange Traded Fund",,,,,,,,,,,2.99,
"DZK","Financial","Exchange Traded Fund",,,,,,,,,,,45.92,
"DZZ","Financial","Exchange Traded Fund",,,,,,,,,,,5.35,
"E","Basic Materials","Major Integrated Oil & Gas",55240.35,0.92,60.27%,-26.50%,43.20%,-7.00%,-6.50%,48.40%,,,29.58,38.10
"EA","Technology","Multimedia & Graphics Software",25797.18,5.78,12.89%,44.00%,16.24%,4.10%,25.90%,69.50%,21.20%,25.90%,83.37,87.04
"EAC","Industrial Goods","Aerospace/Defense - Major Diversified",6.08,0.02,,-31.50%,,20.30%,-8.80%,12.70%,-12.20%,-25.80%,0.44,2.00
"EAD","Financial","Asset Management",,,,0.00%,,,,,,,8.16,
"EAGL","Conglomerates","Conglomerates",22.95,,,,,,,,,,9.79,
"EARN","Financial","REIT - Residential",127.80,3.38,2.49%,-1.84%,-11.20%,,2.10%,69.50%,66.00%,-1.50%,13.34,13.08
