"Ticker","Sector","Industry","Market Cap","P/S","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Return on Investment","Gross Margin","Operating Margin","Profit Margin","Price","Target Price"
"ACAT","Consumer Goods","Recreational Vehicles",188.81,0.31,114.10%,-24.60%,13.00%,6.40%,-5.00%,13.20%,-5.30%,-3.10%,14.38,14.17
"ACC","Financial","REIT - Residential",6532.71,8.50,15.77%,23.70%,2.60%,18.20%,2.70%,52.00%,21.40%,12.10%,47.95,52.91
"ACCO","Consumer Goods","Office Supplies",1078.40,0.71,6.88%,41.70%,10.00%,3.30%,9.10%,32.30%,10.80%,8.60%,9.54,11.33
"ACET","Basic Materials","Chemicals - Major Diversified",562.99,1.01,7.84%,27.90%,20.00%,6.30%,9.20%,25.60%,10.40%,6.20%,18.55,28.00
"ACFC","Financial","Regional - Southeast Banks",100.33,3.12,42.86%,15.90%,,-7.90%,36.90%,,72.70%,14.10%,6.31,8.00
"ACGL","Financial","Property & Casualty Insurance",10108.65,2.44,6.90%,-4.60%,7.84%,4.20%,7.00%,,14.70%,11.70%,80.74,82.68
"ACH","Basic Materials","Aluminum",7646.49,0.41,,-24.10%,,0.40%,3.60%,2.00%,,,8.93,14.51
"ACHC","Healthcare","Specialized Health Services",4418.48,1.88,20.51%,33.90%,19.10%,96.00%,5.60%,,14.60%,6.20%,49.22,73.47
"ACHN","Healthcare","Biotechnology",1172.89,17.93,68.30%,41.10%,17.58%,93.50%,-3.40%,,,10.20%,8.06,9.71
"ACIA","Technology","Communication Equipment",4203.43,12.56,20.81%,0.00%,52.16%,,533.20%,43.60%,19.70%,5.70%,104.75,101.00
"ACIM","Financial","Exchange Traded Fund",,,,,,,,,,,64.56,
"ACIW","Technology","Technical & System Software",2223.21,2.24,19.19%,21.80%,10.00%,20.10%,6.30%,53.60%,21.00%,13.20%,18.28,23.33
"ACLS","Technology","Semiconductor Equipment & Materials",379.64,1.35,119.13%,22.20%,20.00%,1.80%,10.60%,35.40%,6.10%,4.20%,12.35,15.80
"ACM","Services","Technical Services",4542.43,0.26,7.53%,-20.20%,8.36%,22.40%,2.60%,3.70%,2.30%,0.50%,28.30,36.50
"ACN","Technology","Information Technology Services",73288.89,2.14,9.30%,12.30%,10.07%,7.30%,53.50%,29.60%,15.40%,11.10%,110.72,123.56
"ACNB","Financial","Regional - Southwest  Banks",167.39,4.23,,5.20%,,-2.40%,27.80%,,90.40%,28.30%,27.13,
"ACOR","Healthcare","Biotechnology",1242.82,2.38,71.23%,23.10%,29.00%,20.90%,2.90%,80.60%,-0.30%,-1.10%,25.71,39.71
